	Module	Duration	OS_CFG_DBG	OS_CFG_TESTS_ENABLE	OS_CFG_FBCAN1_ENABLE	OS_CFG_PROFILE	OS_CFG_SHELL_ENABLE	OS_CFG_SHELL_HISTLENGTH	OS_CFG_SHELL_REMOTE_ENABLE	CompilerState	Message
107	LightRing_1-0	37.54499935000058	true	false	true	false	false	0	true		
108	LightRing_1-0	27.391530121999494	true	true	false	true	true	3	true	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
109	LightRing_1-0	27.866269301999637	true	false	false	true	true	3	true	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
110	LightRing_1-0	51.10409228699973	true	true	true	true	true	3	true		
111	LightRing_1-0	29.384853341000053	true	true	false	false	true	3	true	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
112	LightRing_1-0	46.86469020200002	true	false	true	true	true	3	true		
113	LightRing_1-0	32.052424808999604	true	false	false	false	true	3	true	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
114	LightRing_1-0	53.5317858870003	true	true	true	false	true	3	true		
115	LightRing_1-0	29.950458549999894	true	false	false	true	false	3	true	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
116	LightRing_1-0	49.73255719499957	true	false	true	false	true	3	true		
117	LightRing_1-0	45.9068923650002	true	false	true	true	false	3	true		
118	LightRing_1-0	30.70275173600021	true	false	false	false	false	3	true	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
119	LightRing_1-0	41.927071206999244	true	false	true	false	false	3	true		
120	LightRing_1-0	28.18877761300064	true	true	false	true	true	0	false	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
121	LightRing_1-0	30.23663368400048	true	false	false	true	true	0	false	error, error, error	unknown type name 'SerialCANDriver', unknown type name 'SerialCANConfig', unknown type name 'aos_fbcan_filter_t'
